id,current_price,market_cap,price_change_percentage_24h,ath,atl,time_stamp
coinbase-wrapped-staked-eth,3000.21,378616417,3.40733,4434.57,1036.96,29/05/2025
sun-token,0.01951577,375839303,-0.63413,66.45,0.00462303,29/05/2025
gnosis,140.02,369652267,1.92516,644.2,6.88,29/05/2025
staked-hype,34.6,369293442,-2.17805,39.78,9.33,29/05/2025
sweth,2975.82,361203984,3.5828,4395.57,1516.13,29/05/2025
turbo,0.0052094,359806358,-0.34287,0.01431669,6.518e-05,29/05/2025
trust-wallet-token,0.856574,356956118,0.80103,2.72,0.00277641,29/05/2025
ether-fi-staked-btc,106122.0,354590389,-1.12583,112644.0,58795.0,29/05/2025
superfarm,0.785053,354492937,-1.97024,4.74,0.070397,29/05/2025
matic-network,0.230321,348996825,0.76594,2.92,0.00314376,29/05/2025
polygon-bridged-wbtc-polygon-pos,107848.0,346247817,-0.85555,111643.0,49937.0,29/05/2025
cat-in-a-dogs-world,0.00389271,346015077,-2.00556,0.01288153,0.00091206,29/05/2025
just,0.03494216,345595740,-1.98777,0.193254,0.00476275,29/05/2025
ether-fi-staked-eth,2718.39,345431286,3.66181,5307.23,1394.71,29/05/2025
berachain-bera,2.87,343412804,0.63217,14.83,2.69,29/05/2025
polygon-pos-bridged-weth-polygon-pos,2728.69,343277541,3.43034,4090.99,1390.73,29/05/2025
terra-luna,6.277e-05,342798353,0.13159,119.18,9.99967e-07,29/05/2025
peanut-the-squirrel,0.339698,340015563,2.43079,2.44,0.03187374,29/05/2025
safe,0.58486,339370192,-4.8643,3.56,0.356678,29/05/2025
1inch,0.238628,331328239,1.81344,8.65,0.149574,29/05/2025
cheems-token,1.61e-06,328899234,2.24206,2.16e-06,5.725e-09,29/05/2025
frax-ether,2723.03,328224642,3.13828,4084.25,1137.25,29/05/2025
axelar,0.346924,327424628,0.78878,2.64,0.274681,29/05/2025
olympus,19.94,326593651,0.0558,1415.26,7.54,29/05/2025
liquid-staked-ethereum,2948.35,325931198,3.4433,4332.67,1384.61,29/05/2025
wrapped-avax,23.73,324154529,1.84213,2000.68,7.91,29/05/2025
bybit-staked-sol,187.39,322954437,-0.97424,308.6,103.09,29/05/2025
ai16z,0.292946,322240260,-5.54721,2.47,0.010189,29/05/2025
keeta,0.806782,318144457,1.70691,0.916609,0.0068199,29/05/2025
frax,0.99952,314786979,-0.01304,1.14,0.874536,29/05/2025
binance-peg-busd,0.998288,311918343,-0.11395,1.064,0.954278,29/05/2025
ripple-usd,0.999996,309050413,0.03587,1.073,0.962292,29/05/2025
creditcoin-2,0.680023,309022520,-1.15089,8.67,0.128298,29/05/2025
mina-protocol,0.248509,306681973,-0.35446,9.09,0.18424,29/05/2025
kusama,18.51,306472282,2.02854,621.71,0.876572,29/05/2025
layerzero,2.72,302288179,0.77335,7.47,1.51,29/05/2025
dash,23.78,292062069,-1.11588,1493.59,0.213899,29/05/2025
frax-share,3.19,289329997,-4.28195,42.8,1.26,29/05/2025
drift-staked-sol,192.91,287607650,-0.80759,311.34,107.06,29/05/2025
notcoin,0.00280591,287490787,3.53372,0.02836145,0.00160895,29/05/2025
toshi,0.00068112,286406524,-4.13872,0.00226012,1.8963e-08,29/05/2025
global-dollar,0.999728,285842711,0.00671,1.65,0.907561,29/05/2025
